Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
36,Sun,2019-05-05,18:30 (22:00),Valladolid,0.5,1–0,1.1,Athletic Club,21151,Estadio Municipal José Zorrilla,Antonio Matéu Lahoz,Match Report,
36,Sun,2019-05-05,20:45 (00:15),Huesca,2.6,2–6,2.4,Valencia,6378,Estadio El Alcoraz,Carlos del Cerro,Match Report,
37,Sun,2019-05-12,18:30 (22:00),Barcelona,2.3,2–0,1.1,Getafe,57088,Camp Nou,José González,Match Report,
37,Sun,2019-05-12,18:30 (22:00),Villarreal,1.4,1–0,0.3,Eibar,17901,Estadio de la Cerámica,Pablo González,Match Report,
37,Sun,2019-05-12,18:30 (22:00),Girona,1.4,1–2,0.5,Levante,13342,Estadi Municipal de Montilivi,Carlos del Cerro,Match Report,
37,Sun,2019-05-12,18:30 (22:00),Leganés,1.0,0–2,2.8,Espanyol,10597,Estadio Municipal de Butarque,Mario Melero,Match Report,
37,Sun,2019-05-12,18:30 (22:00),Betis,2.4,2–1,1.4,Huesca,28078,Estadio Benito Villamarín,Adrián Cordero,Match Report,
37,Sun,2019-05-12,18:30 (22:00),Rayo Vallecano,0.9,1–2,1.3,Valladolid,10040,Estadio del Rayo Vallecano,José Sánchez,Match Report,
37,Sun,2019-05-12,18:30 (22:00),Atlético Madrid,1.4,1–1,0.9,Sevilla,60234,Estadio Wanda Metropolitano,Ricardo de Burgos,Match Report,
37,Sun,2019-05-12,18:30 (22:00),Valencia,1.3,3–1,0.7,Alavés,37744,Estadio de Mestalla,Guillermo Cuadra,Match Report,
37,Sun,2019-05-12,18:30 (22:00),Athletic Club,2.4,3–1,1.0,Celta Vigo,42494,San Mamés,Javier Estrada,Match Report,
37,Sun,2019-05-12,18:30 (22:00),Real Sociedad,2.0,3–1,0.6,Real Madrid,27322,Estadio Municipal de Anoeta,Juan Martínez,Match Report,
38,Sat,2019-05-18,13:00 (16:30),Levante,2.4,2–2,1.6,Atlético Madrid,20575,Estadio Ciudad de Valencia,Ignacio Iglesias,Match Report,
38,Sat,2019-05-18,16:15 (19:45),Getafe,1.1,2–2,0.9,Villarreal,13579,Coliseum Alfonso Pérez,Javier Estrada,Match Report,
38,Sat,2019-05-18,16:15 (19:45),Espanyol,1.1,2–0,0.6,Real Sociedad,26568,RCDE Stadium,Santiago Jaime,Match Report,
38,Sat,2019-05-18,16:15 (19:45),Sevilla,1.7,2–0,0.6,Athletic Club,28060,Estadio Ramón Sánchez Pizjuán,José Sánchez,Match Report,
38,Sat,2019-05-18,16:15 (19:45),Valladolid,1.1,0–2,1.8,Valencia,23455,Estadio Municipal José Zorrilla,Ricardo de Burgos,Match Report,
38,Sat,2019-05-18,20:45 (00:15),Huesca,0.9,2–1,0.7,Leganés,5575,Estadio El Alcoraz,Alberola Rojas,Match Report,
38,Sat,2019-05-18,20:45 (00:15),Alavés,1.2,2–1,0.9,Girona,11549,Estadio de Mendizorroza,Mario Melero,Match Report,
38,Sat,2019-05-18,20:45 (00:15),Celta Vigo,2.0,2–2,1.1,Rayo Vallecano,21607,Estadio de Balaídos,Antonio Matéu Lahoz,Match Report,
38,Sun,2019-05-19,12:00 (15:30),Real Madrid,0.6,0–2,1.4,Betis,56900,Estadio Santiago Bernabéu,Alberto Undiano,Match Report,
38,Sun,2019-05-19,16:15 (19:45),Eibar,1.3,2–2,1.0,Barcelona,5145,Estadio Municipal de Ipurúa,José Luis Munuera,Match Report,
