Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
7,Sun,2018-09-30,16:15 (19:45),Villarreal,2.5,0–1,0.6,Valladolid,15602,Estadio de la Cerámica,Ignacio Iglesias,Match Report,
7,Sun,2018-09-30,18:30 (22:00),Levante,1.7,2–1,0.7,Alavés,20239,Estadio Ciudad de Valencia,Mario Melero,Match Report,
7,Sun,2018-09-30,20:45 (00:15),Betis,1.9,1–0,0.5,Leganés,48115,Estadio Benito Villamarín,José Sánchez,Match Report,
7,Mon,2018-10-01,21:00 (00:30),Celta Vigo,0.5,1–1,1.0,Getafe,14330,Estadio de Balaídos,Guillermo Cuadra,Match Report,
8,Fri,2018-10-05,21:00 (00:30),Athletic Club,1.7,1–3,2.2,Real Sociedad,46884,San Mamés,Alejandro Hernández,Match Report,
8,Sat,2018-10-06,13:00 (16:30),Girona,1.2,2–3,1.9,Eibar,10569,Estadi Municipal de Montilivi,Eduardo Prieto,Match Report,
8,Sat,2018-10-06,16:15 (19:45),Getafe,1.2,0–1,1.1,Levante,9557,Coliseum Alfonso Pérez,José Luis Munuera,Match Report,
8,Sat,2018-10-06,18:30 (22:00),Alavés,0.8,1–0,0.9,Real Madrid,19461,Estadio de Mendizorroza,Santiago Jaime,Match Report,
8,Sat,2018-10-06,20:45 (00:15),Leganés,0.9,1–0,0.3,Rayo Vallecano,11539,Estadio Municipal de Butarque,David Medié,Match Report,
8,Sun,2018-10-07,12:00 (15:30),Valladolid,1.1,1–0,0.5,Huesca,17300,Estadio Municipal José Zorrilla,Antonio Matéu Lahoz,Match Report,
8,Sun,2018-10-07,16:15 (19:45),Atlético Madrid,0.7,1–0,0.4,Betis,63786,Estadio Wanda Metropolitano,Alberto Undiano,Match Report,
8,Sun,2018-10-07,18:30 (22:00),Sevilla,1.9,2–1,0.8,Celta Vigo,38068,Estadio Ramón Sánchez Pizjuán,Pablo González,Match Report,
8,Sun,2018-10-07,18:30 (22:00),Espanyol,3.8,3–1,1.7,Villarreal,20032,RCDE Stadium,Ricardo de Burgos,Match Report,
8,Sun,2018-10-07,20:45 (00:15),Valencia,1.4,1–1,0.4,Barcelona,46249,Estadio de Mestalla,José González,Match Report,
9,Fri,2018-10-19,21:00 (00:30),Celta Vigo,1.1,0–1,1.0,Alavés,15627,Estadio de Balaídos,Carlos del Cerro,Match Report,
9,Sat,2018-10-20,13:00 (16:30),Real Madrid,3.4,1–2,2.0,Levante,63423,Estadio Santiago Bernabéu,Guillermo Cuadra,Match Report,
9,Sat,2018-10-20,16:15 (19:45),Valencia,1.4,1–1,1.0,Leganés,35597,Estadio de Mestalla,Ignacio Iglesias,Match Report,
9,Sat,2018-10-20,18:30 (22:00),Villarreal,1.5,1–1,1.0,Atlético Madrid,17518,Estadio de la Cerámica,Javier Estrada,Match Report,
9,Sat,2018-10-20,20:45 (00:15),Barcelona,2.5,4–2,1.8,Sevilla,88712,Camp Nou,Juan Martínez,Match Report,
9,Sun,2018-10-21,12:00 (15:30),Rayo Vallecano,0.5,1–2,0.4,Getafe,12040,Estadio del Rayo Vallecano,Mario Melero,Match Report,
9,Sun,2018-10-21,16:15 (19:45),Eibar,1.8,1–1,0.8,Athletic Club,6475,Estadio Municipal de Ipurúa,Jesús Gil,Match Report,
9,Sun,2018-10-21,18:30 (22:00),Huesca,0.3,0–2,1.7,Espanyol,6943,Estadio El Alcoraz,Eduardo Prieto,Match Report,
9,Sun,2018-10-21,20:45 (00:15),Betis,1.1,0–1,0.6,Valladolid,42581,Estadio Benito Villamarín,Alberola Rojas,Match Report,
9,Mon,2018-10-22,21:00 (00:30),Real Sociedad,0.9,0–0,0.6,Girona,20997,Estadio Municipal de Anoeta,Pablo González,Match Report,
3,Wed,2018-10-24,19:00 (22:30),Rayo Vallecano,0.9,1–1,1.2,Athletic Club,11850,Estadio del Rayo Vallecano,Guillermo Cuadra,Match Report,
10,Fri,2018-10-26,21:00 (00:30),Valladolid,1.8,1–1,0.4,Espanyol,18231,Estadio Municipal José Zorrilla,Adrián Cordero,Match Report,
10,Sat,2018-10-27,13:00 (16:30),Girona,2.2,2–1,1.4,Rayo Vallecano,6618,Estadi Municipal de Montilivi,José Luis Munuera,Match Report,
10,Sat,2018-10-27,16:15 (19:45),Athletic Club,0.7,0–0,0.7,Valencia,39261,San Mamés,Alberto Undiano,Match Report,
10,Sat,2018-10-27,18:30 (22:00),Celta Vigo,1.5,4–0,2.1,Eibar,15509,Estadio de Balaídos,José González,Match Report,
10,Sat,2018-10-27,18:30 (22:00),Levante,1.2,2–0,1.1,Leganés,19754,Estadio Ciudad de Valencia,Ricardo de Burgos,Match Report,
10,Sat,2018-10-27,20:45 (00:15),Atlético Madrid,1.7,2–0,0.3,Real Sociedad,57514,Estadio Wanda Metropolitano,Antonio Matéu Lahoz,Match Report,
10,Sun,2018-10-28,12:00 (16:30),Getafe,2.2,2–0,0.7,Betis,12086,Coliseum Alfonso Pérez,Santiago Jaime,Match Report,
10,Sun,2018-10-28,16:15 (20:45),Barcelona,3.0,5–1,2.1,Real Madrid,93265,Camp Nou,José Sánchez,Match Report,
10,Sun,2018-10-28,18:30 (23:00),Alavés,2.1,2–1,1.7,Villarreal,16956,Estadio de Mendizorroza,Guillermo Cuadra,Match Report,
10,Sun,2018-10-28,20:45 (01:15),Sevilla,2.3,2–1,0.6,Huesca,33022,Estadio Ramón Sánchez Pizjuán,David Medié,Match Report,
11,Sat,2018-11-03,13:00 (17:30),Leganés,0.8,1–1,0.5,Atlético Madrid,12319,Estadio Municipal de Butarque,Mario Melero,Match Report,
11,Sat,2018-11-03,16:15 (20:45),Real Madrid,2.2,2–0,1.1,Valladolid,68050,Estadio Santiago Bernabéu,Jesús Gil,Match Report,
11,Sat,2018-11-03,18:30 (23:00),Valencia,2.0,0–1,0.5,Girona,38745,Estadio de Mestalla,Alberola Rojas,Match Report,
11,Sat,2018-11-03,20:45 (01:15),Rayo Vallecano,1.4,2–3,1.2,Barcelona,13785,Estadio del Rayo Vallecano,Alejandro Hernández,Match Report,
11,Sun,2018-11-04,12:00 (16:30),Eibar,1.4,2–1,0.7,Alavés,5660,Estadio Municipal de Ipurúa,Ignacio Iglesias,Match Report,
11,Sun,2018-11-04,16:15 (20:45),Villarreal,1.4,1–1,0.8,Levante,16499,Estadio de la Cerámica,Carlos del Cerro,Match Report,
11,Sun,2018-11-04,18:30 (23:00),Real Sociedad,0.7,0–0,0.4,Sevilla,24882,Estadio Municipal de Anoeta,Eduardo Prieto,Match Report,
11,Sun,2018-11-04,18:30 (23:00),Huesca,1.3,1–1,1.0,Getafe,6420,Estadio El Alcoraz,Juan Martínez,Match Report,
11,Sun,2018-11-04,20:45 (01:15),Betis,2.1,3–3,1.3,Celta Vigo,42130,Estadio Benito Villamarín,Javier Estrada,Match Report,
11,Mon,2018-11-05,21:00 (01:30),Espanyol,1.8,1–0,0.5,Athletic Club,14328,RCDE Stadium,Pablo González,Match Report,
12,Fri,2018-11-09,21:00 (01:30),Levante,1.0,1–3,1.0,Real Sociedad,19890,Estadio Ciudad de Valencia,David Medié,Match Report,
12,Sat,2018-11-10,13:00 (17:30),Valladolid,0.5,0–0,1.4,Eibar,16038,Estadio Municipal José Zorrilla,Guillermo Cuadra,Match Report,
12,Sat,2018-11-10,16:15 (20:45),Getafe,1.3,0–1,2.1,Valencia,10011,Coliseum Alfonso Pérez,Ricardo de Burgos,Match Report,
12,Sat,2018-11-10,18:30 (23:00),Atlético Madrid,1.1,3–2,1.6,Athletic Club,59321,Estadio Wanda Metropolitano,José Sánchez,Match Report,
12,Sat,2018-11-10,20:45 (01:15),Girona,0.6,0–0,0.9,Leganés,9874,Estadi Municipal de Montilivi,Adrián Cordero,Match Report,
12,Sun,2018-11-11,12:00 (16:30),Alavés,1.0,2–1,0.9,Huesca,18437,Estadio de Mendizorroza,José Luis Munuera,Match Report,
12,Sun,2018-11-11,16:15 (20:45),Barcelona,4.2,3–4,2.0,Betis,83174,Camp Nou,Antonio Matéu Lahoz,Match Report,
12,Sun,2018-11-11,18:30 (23:00),Rayo Vallecano,2.1,2–2,0.7,Villarreal,11840,Estadio del Rayo Vallecano,José González,Match Report,
12,Sun,2018-11-11,18:30 (23:00),Sevilla,3.3,2–1,1.5,Espanyol,38769,Estadio Ramón Sánchez Pizjuán,Santiago Jaime,Match Report,
12,Sun,2018-11-11,20:45 (01:15),Celta Vigo,1.5,2–4,2.1,Real Madrid,21184,Estadio de Balaídos,Alberto Undiano,Match Report,
13,Fri,2018-11-23,21:00 (01:30),Leganés,0.9,1–0,0.3,Alavés,9863,Estadio Municipal de Butarque,Alberola Rojas,Match Report,
13,Sat,2018-11-24,13:00 (17:30),Eibar,2.9,3–0,0.6,Real Madrid,6435,Estadio Municipal de Ipurúa,Juan Martínez,Match Report,
13,Sat,2018-11-24,16:15 (20:45),Valencia,1.8,3–0,0.7,Rayo Vallecano,37814,Estadio de Mestalla,Pablo González,Match Report,
13,Sat,2018-11-24,18:30 (23:00),Huesca,2.3,2–2,0.6,Levante,6459,Estadio El Alcoraz,Javier Estrada,Match Report,
13,Sat,2018-11-24,20:45 (01:15),Atlético Madrid,0.1,1–1,0.5,Barcelona,67204,Estadio Wanda Metropolitano,Jesús Gil,Match Report,
13,Sun,2018-11-25,12:00 (16:30),Athletic Club,0.4,1–1,2.2,Getafe,39821,San Mamés,Ignacio Iglesias,Match Report,
13,Sun,2018-11-25,16:15 (20:45),Sevilla,2.3,1–0,0.6,Valladolid,34064,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Match Report,
13,Sun,2018-11-25,18:30 (23:00),Espanyol,2.2,1–3,2.5,Girona,22716,RCDE Stadium,Alejandro Hernández,Match Report,
13,Sun,2018-11-25,20:45 (01:15),Villarreal,1.0,2–1,1.2,Betis,16028,Estadio de la Cerámica,Eduardo Prieto,Match Report,
13,Mon,2018-11-26,21:00 (01:30),Real Sociedad,2.1,2–1,0.3,Celta Vigo,17744,Estadio Municipal de Anoeta,Mario Melero,Match Report,
14,Fri,2018-11-30,21:00 (01:30),Rayo Vallecano,0.7,1–0,0.7,Eibar,11257,Estadio del Rayo Vallecano,Alberto Undiano,Match Report,
14,Sat,2018-12-01,13:00 (17:30),Celta Vigo,2.2,2–0,0.8,Huesca,13463,Estadio de Balaídos,Adrián Cordero,Match Report,
14,Sat,2018-12-01,16:15 (20:45),Valladolid,2.1,2–4,1.5,Leganés,16783,Estadio Municipal José Zorrilla,David Medié,Match Report,
14,Sat,2018-12-01,18:30 (23:00),Getafe,1.0,3–0,1.1,Espanyol,9287,Coliseum Alfonso Pérez,Antonio Matéu Lahoz,Match Report,
14,Sat,2018-12-01,20:45 (01:15),Real Madrid,1.2,2–0,0.6,Valencia,69653,Estadio Santiago Bernabéu,José González,Match Report,
14,Sun,2018-12-02,12:00 (16:30),Betis,0.9,1–0,1.0,Real Sociedad,46562,Estadio Benito Villamarín,Guillermo Cuadra,Match Report,
14,Sun,2018-12-02,16:15 (20:45),Girona,1.4,1–1,1.8,Atlético Madrid,12104,Estadi Municipal de Montilivi,Ricardo de Burgos,Match Report,
14,Sun,2018-12-02,18:30 (23:00),Barcelona,1.2,2–0,0.7,Villarreal,73003,Camp Nou,José Luis Munuera,Match Report,
14,Sun,2018-12-02,20:45 (01:15),Alavés,1.4,1–1,1.9,Sevilla,17848,Estadio de Mendizorroza,José Sánchez,Match Report,
14,Mon,2018-12-03,21:00 (01:30),Levante,1.7,3–0,1.0,Athletic Club,19928,Estadio Ciudad de Valencia,Santiago Jaime,Match Report,
15,Fri,2018-12-07,21:00 (01:30),Leganés,1.5,1–1,1.2,Getafe,11327,Estadio Municipal de Butarque,Pablo González,Match Report,
15,Sat,2018-12-08,13:00 (17:30),Atlético Madrid,2.3,3–0,1.4,Alavés,55810,Estadio Wanda Metropolitano,Alejandro Hernández,Match Report,
15,Sat,2018-12-08,16:15 (20:45),Valencia,1.2,1–1,1.4,Sevilla,40057,Estadio de Mestalla,Javier Estrada,Match Report,
15,Sat,2018-12-08,18:30 (23:00),Villarreal,1.5,2–3,1.8,Celta Vigo,15720,Estadio de la Cerámica,Jesús Gil,Match Report,
15,Sat,2018-12-08,20:45 (01:15),Espanyol,1.1,0–4,2.6,Barcelona,24037,RCDE Stadium,Carlos del Cerro,Match Report,
15,Sun,2018-12-09,12:00 (16:30),Eibar,3.5,4–4,3.2,Levante,5328,Estadio Municipal de Ipurúa,Alberola Rojas,Match Report,
15,Sun,2018-12-09,16:15 (20:45),Huesca,1.1,0–1,0.3,Real Madrid,7341,Estadio El Alcoraz,Mario Melero,Match Report,
15,Sun,2018-12-09,18:30 (23:00),Real Sociedad,2.1,1–2,1.1,Valladolid,23260,Estadio Municipal de Anoeta,Ignacio Iglesias,Match Report,
